company_name,ticker,sector,ticker_yfinance,currency,exchange,country,index,has_adr,adr_ticker
3M,MMM,Industrials,MMM,USD,NYSE/NASDAQ,US,SP500,False,
A. O. Smith,AOS,Industrials,AOS,USD,NYSE/NASDAQ,US,SP500,False,
Abbott Laboratories,ABT,Health Care,ABT,USD,NYSE/NASDAQ,US,SP500,False,
AbbVie,ABBV,Health Care,ABBV,USD,NYSE/NASDAQ,US,SP500,False,
Accenture,ACN,Information Technology,ACN,USD,NYSE/NASDAQ,US,SP500,False,
Adobe Inc.,ADBE,Information Technology,ADBE,USD,NYSE/NASDAQ,US,SP500,False,
Advanced Micro Devices,AMD,Information Technology,AMD,USD,NYSE/NASDAQ,US,SP500,False,
AES Corporation,AES,Utilities,AES,USD,NYSE/NASDAQ,US,SP500,False,
Aflac,AFL,Financials,AFL,USD,NYSE/NASDAQ,US,SP500,False,
Agilent Technologies,A,Health Care,A,USD,NYSE/NASDAQ,US,SP500,False,
Air Products,APD,Materials,APD,USD,NYSE/NASDAQ,US,SP500,False,
Airbnb,ABNB,Consumer Discretionary,ABNB,USD,NYSE/NASDAQ,US,SP500,False,
Akamai Technologies,AKAM,Information Technology,AKAM,USD,NYSE/NASDAQ,US,SP500,False,
Albemarle Corporation,ALB,Materials,ALB,USD,NYSE/NASDAQ,US,SP500,False,
Alexandria Real Estate Equities,ARE,Real Estate,ARE,USD,NYSE/NASDAQ,US,SP500,False,
Align Technology,ALGN,Health Care,ALGN,USD,NYSE/NASDAQ,US,SP500,False,
Allegion,ALLE,Industrials,ALLE,USD,NYSE/NASDAQ,US,SP500,False,
Alliant Energy,LNT,Utilities,LNT,USD,NYSE/NASDAQ,US,SP500,False,
Allstate,ALL,Financials,ALL,USD,NYSE/NASDAQ,US,SP500,False,
Alphabet Inc. (Class A),GOOGL,Communication Services,GOOGL,USD,NYSE/NASDAQ,US,SP500,False,
Alphabet Inc. (Class C),GOOG,Communication Services,GOOG,USD,NYSE/NASDAQ,US,SP500,False,
Altria,MO,Consumer Staples,MO,USD,NYSE/NASDAQ,US,SP500,False,
Amazon,AMZN,Consumer Discretionary,AMZN,USD,NYSE/NASDAQ,US,SP500,False,
Amcor,AMCR,Materials,AMCR,USD,NYSE/NASDAQ,US,SP500,False,
Ameren,AEE,Utilities,AEE,USD,NYSE/NASDAQ,US,SP500,False,
American Electric Power,AEP,Utilities,AEP,USD,NYSE/NASDAQ,US,SP500,False,
American Express,AXP,Financials,AXP,USD,NYSE/NASDAQ,US,SP500,False,
American International Group,AIG,Financials,AIG,USD,NYSE/NASDAQ,US,SP500,False,
American Tower,AMT,Real Estate,AMT,USD,NYSE/NASDAQ,US,SP500,False,
American Water Works,AWK,Utilities,AWK,USD,NYSE/NASDAQ,US,SP500,False,
Ameriprise Financial,AMP,Financials,AMP,USD,NYSE/NASDAQ,US,SP500,False,
Ametek,AME,Industrials,AME,USD,NYSE/NASDAQ,US,SP500,False,
Amgen,AMGN,Health Care,AMGN,USD,NYSE/NASDAQ,US,SP500,False,
Amphenol,APH,Information Technology,APH,USD,NYSE/NASDAQ,US,SP500,False,
Analog Devices,ADI,Information Technology,ADI,USD,NYSE/NASDAQ,US,SP500,False,
Aon plc,AON,Financials,AON,USD,NYSE/NASDAQ,US,SP500,False,
APA Corporation,APA,Energy,APA,USD,NYSE/NASDAQ,US,SP500,False,
Apollo Global Management,APO,Financials,APO,USD,NYSE/NASDAQ,US,SP500,False,
Apple Inc.,AAPL,Information Technology,AAPL,USD,NYSE/NASDAQ,US,SP500,False,
Applied Materials,AMAT,Information Technology,AMAT,USD,NYSE/NASDAQ,US,SP500,False,
AppLovin,APP,Information Technology,APP,USD,NYSE/NASDAQ,US,SP500,False,
Aptiv,APTV,Consumer Discretionary,APTV,USD,NYSE/NASDAQ,US,SP500,False,
Arch Capital Group,ACGL,Financials,ACGL,USD,NYSE/NASDAQ,US,SP500,False,
Archer Daniels Midland,ADM,Consumer Staples,ADM,USD,NYSE/NASDAQ,US,SP500,False,
Ares Management,ARES,Financials,ARES,USD,NYSE/NASDAQ,US,SP500,False,
Arista Networks,ANET,Information Technology,ANET,USD,NYSE/NASDAQ,US,SP500,False,
Arthur J. Gallagher & Co.,AJG,Financials,AJG,USD,NYSE/NASDAQ,US,SP500,False,
Assurant,AIZ,Financials,AIZ,USD,NYSE/NASDAQ,US,SP500,False,
AT&T,T,Communication Services,T,USD,NYSE/NASDAQ,US,SP500,False,
Atmos Energy,ATO,Utilities,ATO,USD,NYSE/NASDAQ,US,SP500,False,
Autodesk,ADSK,Information Technology,ADSK,USD,NYSE/NASDAQ,US,SP500,False,
Automatic Data Processing,ADP,Industrials,ADP,USD,NYSE/NASDAQ,US,SP500,False,
AutoZone,AZO,Consumer Discretionary,AZO,USD,NYSE/NASDAQ,US,SP500,False,
AvalonBay Communities,AVB,Real Estate,AVB,USD,NYSE/NASDAQ,US,SP500,False,
Avery Dennison,AVY,Materials,AVY,USD,NYSE/NASDAQ,US,SP500,False,
Axon Enterprise,AXON,Industrials,AXON,USD,NYSE/NASDAQ,US,SP500,False,
Baker Hughes,BKR,Energy,BKR,USD,NYSE/NASDAQ,US,SP500,False,
Ball Corporation,BALL,Materials,BALL,USD,NYSE/NASDAQ,US,SP500,False,
Bank of America,BAC,Financials,BAC,USD,NYSE/NASDAQ,US,SP500,False,
Baxter International,BAX,Health Care,BAX,USD,NYSE/NASDAQ,US,SP500,False,
Becton Dickinson,BDX,Health Care,BDX,USD,NYSE/NASDAQ,US,SP500,False,
Berkshire Hathaway,BRK.B,Financials,BRK-B,USD,NYSE/NASDAQ,US,SP500,False,
Best Buy,BBY,Consumer Discretionary,BBY,USD,NYSE/NASDAQ,US,SP500,False,
Bio-Techne,TECH,Health Care,TECH,USD,NYSE/NASDAQ,US,SP500,False,
Biogen,BIIB,Health Care,BIIB,USD,NYSE/NASDAQ,US,SP500,False,
BlackRock,BLK,Financials,BLK,USD,NYSE/NASDAQ,US,SP500,False,
Blackstone Inc.,BX,Financials,BX,USD,NYSE/NASDAQ,US,SP500,False,
"Block, Inc.",XYZ,Financials,XYZ,USD,NYSE/NASDAQ,US,SP500,False,
BNY Mellon,BNY,Financials,BNY,USD,NYSE/NASDAQ,US,SP500,False,
Boeing,BA,Industrials,BA,USD,NYSE/NASDAQ,US,SP500,False,
Booking Holdings,BKNG,Consumer Discretionary,BKNG,USD,NYSE/NASDAQ,US,SP500,False,
Boston Scientific,BSX,Health Care,BSX,USD,NYSE/NASDAQ,US,SP500,False,
Bristol Myers Squibb,BMY,Health Care,BMY,USD,NYSE/NASDAQ,US,SP500,False,
Broadcom,AVGO,Information Technology,AVGO,USD,NYSE/NASDAQ,US,SP500,False,
Broadridge Financial Solutions,BR,Industrials,BR,USD,NYSE/NASDAQ,US,SP500,False,
Brown & Brown,BRO,Financials,BRO,USD,NYSE/NASDAQ,US,SP500,False,
Brown–Forman,BF.B,Consumer Staples,BF-B,USD,NYSE/NASDAQ,US,SP500,False,
Builders FirstSource,BLDR,Industrials,BLDR,USD,NYSE/NASDAQ,US,SP500,False,
Bunge Global,BG,Consumer Staples,BG,USD,NYSE/NASDAQ,US,SP500,False,
"BXP, Inc.",BXP,Real Estate,BXP,USD,NYSE/NASDAQ,US,SP500,False,
C.H. Robinson,CHRW,Industrials,CHRW,USD,NYSE/NASDAQ,US,SP500,False,
Cadence Design Systems,CDNS,Information Technology,CDNS,USD,NYSE/NASDAQ,US,SP500,False,
Camden Property Trust,CPT,Real Estate,CPT,USD,NYSE/NASDAQ,US,SP500,False,
Campbell's Company (The),CPB,Consumer Staples,CPB,USD,NYSE/NASDAQ,US,SP500,False,
Capital One,COF,Financials,COF,USD,NYSE/NASDAQ,US,SP500,False,
Cardinal Health,CAH,Health Care,CAH,USD,NYSE/NASDAQ,US,SP500,False,
Carnival Corporation,CCL,Consumer Discretionary,CCL,USD,NYSE/NASDAQ,US,SP500,False,
Carrier Global,CARR,Industrials,CARR,USD,NYSE/NASDAQ,US,SP500,False,
Carvana,CVNA,Consumer Discretionary,CVNA,USD,NYSE/NASDAQ,US,SP500,False,
Casey's,CASY,Consumer Staples,CASY,USD,NYSE/NASDAQ,US,SP500,False,
Caterpillar Inc.,CAT,Industrials,CAT,USD,NYSE/NASDAQ,US,SP500,False,
Cboe Global Markets,CBOE,Financials,CBOE,USD,NYSE/NASDAQ,US,SP500,False,
CBRE Group,CBRE,Real Estate,CBRE,USD,NYSE/NASDAQ,US,SP500,False,
CDW Corporation,CDW,Information Technology,CDW,USD,NYSE/NASDAQ,US,SP500,False,
Cencora,COR,Health Care,COR,USD,NYSE/NASDAQ,US,SP500,False,
Centene Corporation,CNC,Health Care,CNC,USD,NYSE/NASDAQ,US,SP500,False,
CenterPoint Energy,CNP,Utilities,CNP,USD,NYSE/NASDAQ,US,SP500,False,
CF Industries,CF,Materials,CF,USD,NYSE/NASDAQ,US,SP500,False,
Charles River Laboratories,CRL,Health Care,CRL,USD,NYSE/NASDAQ,US,SP500,False,
Charles Schwab Corporation,SCHW,Financials,SCHW,USD,NYSE/NASDAQ,US,SP500,False,
Charter Communications,CHTR,Communication Services,CHTR,USD,NYSE/NASDAQ,US,SP500,False,
Chevron Corporation,CVX,Energy,CVX,USD,NYSE/NASDAQ,US,SP500,False,
Chipotle Mexican Grill,CMG,Consumer Discretionary,CMG,USD,NYSE/NASDAQ,US,SP500,False,
Chubb Limited,CB,Financials,CB,USD,NYSE/NASDAQ,US,SP500,False,
Church & Dwight,CHD,Consumer Staples,CHD,USD,NYSE/NASDAQ,US,SP500,False,
Ciena,CIEN,Information Technology,CIEN,USD,NYSE/NASDAQ,US,SP500,False,
Cigna,CI,Health Care,CI,USD,NYSE/NASDAQ,US,SP500,False,
Cincinnati Financial,CINF,Financials,CINF,USD,NYSE/NASDAQ,US,SP500,False,
Cintas,CTAS,Industrials,CTAS,USD,NYSE/NASDAQ,US,SP500,False,
Cisco,CSCO,Information Technology,CSCO,USD,NYSE/NASDAQ,US,SP500,False,
Citigroup,C,Financials,C,USD,NYSE/NASDAQ,US,SP500,False,
Citizens Financial Group,CFG,Financials,CFG,USD,NYSE/NASDAQ,US,SP500,False,
Clorox,CLX,Consumer Staples,CLX,USD,NYSE/NASDAQ,US,SP500,False,
CME Group,CME,Financials,CME,USD,NYSE/NASDAQ,US,SP500,False,
CMS Energy,CMS,Utilities,CMS,USD,NYSE/NASDAQ,US,SP500,False,
Coca-Cola Company (The),KO,Consumer Staples,KO,USD,NYSE/NASDAQ,US,SP500,False,
Cognizant,CTSH,Information Technology,CTSH,USD,NYSE/NASDAQ,US,SP500,False,
Coherent Corp.,COHR,Information Technology,COHR,USD,NYSE/NASDAQ,US,SP500,False,
Coinbase,COIN,Financials,COIN,USD,NYSE/NASDAQ,US,SP500,False,
Colgate-Palmolive,CL,Consumer Staples,CL,USD,NYSE/NASDAQ,US,SP500,False,
Comcast,CMCSA,Communication Services,CMCSA,USD,NYSE/NASDAQ,US,SP500,False,
Comfort Systems USA,FIX,Industrials,FIX,USD,NYSE/NASDAQ,US,SP500,False,
Conagra Brands,CAG,Consumer Staples,CAG,USD,NYSE/NASDAQ,US,SP500,False,
ConocoPhillips,COP,Energy,COP,USD,NYSE/NASDAQ,US,SP500,False,
Consolidated Edison,ED,Utilities,ED,USD,NYSE/NASDAQ,US,SP500,False,
Constellation Brands,STZ,Consumer Staples,STZ,USD,NYSE/NASDAQ,US,SP500,False,
Constellation Energy,CEG,Utilities,CEG,USD,NYSE/NASDAQ,US,SP500,False,
Cooper Companies (The),COO,Health Care,COO,USD,NYSE/NASDAQ,US,SP500,False,
Copart,CPRT,Industrials,CPRT,USD,NYSE/NASDAQ,US,SP500,False,
Corning Inc.,GLW,Information Technology,GLW,USD,NYSE/NASDAQ,US,SP500,False,
Corpay,CPAY,Financials,CPAY,USD,NYSE/NASDAQ,US,SP500,False,
Corteva,CTVA,Materials,CTVA,USD,NYSE/NASDAQ,US,SP500,False,
CoStar Group,CSGP,Real Estate,CSGP,USD,NYSE/NASDAQ,US,SP500,False,
Costco,COST,Consumer Staples,COST,USD,NYSE/NASDAQ,US,SP500,False,
CRH plc,CRH,Materials,CRH,USD,NYSE/NASDAQ,US,SP500,False,
CrowdStrike,CRWD,Information Technology,CRWD,USD,NYSE/NASDAQ,US,SP500,False,
Crown Castle,CCI,Real Estate,CCI,USD,NYSE/NASDAQ,US,SP500,False,
CSX Corporation,CSX,Industrials,CSX,USD,NYSE/NASDAQ,US,SP500,False,
Cummins,CMI,Industrials,CMI,USD,NYSE/NASDAQ,US,SP500,False,
CVS Health,CVS,Health Care,CVS,USD,NYSE/NASDAQ,US,SP500,False,
Danaher Corporation,DHR,Health Care,DHR,USD,NYSE/NASDAQ,US,SP500,False,
Darden Restaurants,DRI,Consumer Discretionary,DRI,USD,NYSE/NASDAQ,US,SP500,False,
Datadog,DDOG,Information Technology,DDOG,USD,NYSE/NASDAQ,US,SP500,False,
DaVita,DVA,Health Care,DVA,USD,NYSE/NASDAQ,US,SP500,False,
Deckers Brands,DECK,Consumer Discretionary,DECK,USD,NYSE/NASDAQ,US,SP500,False,
Deere & Company,DE,Industrials,DE,USD,NYSE/NASDAQ,US,SP500,False,
Dell Technologies,DELL,Information Technology,DELL,USD,NYSE/NASDAQ,US,SP500,False,
Delta Air Lines,DAL,Industrials,DAL,USD,NYSE/NASDAQ,US,SP500,False,
Devon Energy,DVN,Energy,DVN,USD,NYSE/NASDAQ,US,SP500,False,
Dexcom,DXCM,Health Care,DXCM,USD,NYSE/NASDAQ,US,SP500,False,
Diamondback Energy,FANG,Energy,FANG,USD,NYSE/NASDAQ,US,SP500,False,
Digital Realty,DLR,Real Estate,DLR,USD,NYSE/NASDAQ,US,SP500,False,
Dollar General,DG,Consumer Staples,DG,USD,NYSE/NASDAQ,US,SP500,False,
Dollar Tree,DLTR,Consumer Staples,DLTR,USD,NYSE/NASDAQ,US,SP500,False,
Dominion Energy,D,Utilities,D,USD,NYSE/NASDAQ,US,SP500,False,
Domino's,DPZ,Consumer Discretionary,DPZ,USD,NYSE/NASDAQ,US,SP500,False,
DoorDash,DASH,Consumer Discretionary,DASH,USD,NYSE/NASDAQ,US,SP500,False,
Dover Corporation,DOV,Industrials,DOV,USD,NYSE/NASDAQ,US,SP500,False,
Dow Inc.,DOW,Materials,DOW,USD,NYSE/NASDAQ,US,SP500,False,
D. R. Horton,DHI,Consumer Discretionary,DHI,USD,NYSE/NASDAQ,US,SP500,False,
DTE Energy,DTE,Utilities,DTE,USD,NYSE/NASDAQ,US,SP500,False,
Duke Energy,DUK,Utilities,DUK,USD,NYSE/NASDAQ,US,SP500,False,
DuPont,DD,Materials,DD,USD,NYSE/NASDAQ,US,SP500,False,
Eaton Corporation,ETN,Industrials,ETN,USD,NYSE/NASDAQ,US,SP500,False,
eBay Inc.,EBAY,Consumer Discretionary,EBAY,USD,NYSE/NASDAQ,US,SP500,False,
EchoStar,SATS,Communication Services,SATS,USD,NYSE/NASDAQ,US,SP500,False,
Ecolab,ECL,Materials,ECL,USD,NYSE/NASDAQ,US,SP500,False,
Edison International,EIX,Utilities,EIX,USD,NYSE/NASDAQ,US,SP500,False,
Edwards Lifesciences,EW,Health Care,EW,USD,NYSE/NASDAQ,US,SP500,False,
Electronic Arts,EA,Communication Services,EA,USD,NYSE/NASDAQ,US,SP500,False,
Elevance Health,ELV,Health Care,ELV,USD,NYSE/NASDAQ,US,SP500,False,
Emcor,EME,Industrials,EME,USD,NYSE/NASDAQ,US,SP500,False,
Emerson Electric,EMR,Industrials,EMR,USD,NYSE/NASDAQ,US,SP500,False,
Entergy,ETR,Utilities,ETR,USD,NYSE/NASDAQ,US,SP500,False,
EOG Resources,EOG,Energy,EOG,USD,NYSE/NASDAQ,US,SP500,False,
EPAM Systems,EPAM,Information Technology,EPAM,USD,NYSE/NASDAQ,US,SP500,False,
EQT Corporation,EQT,Energy,EQT,USD,NYSE/NASDAQ,US,SP500,False,
Equifax,EFX,Industrials,EFX,USD,NYSE/NASDAQ,US,SP500,False,
Equinix,EQIX,Real Estate,EQIX,USD,NYSE/NASDAQ,US,SP500,False,
Equity Residential,EQR,Real Estate,EQR,USD,NYSE/NASDAQ,US,SP500,False,
Erie Indemnity,ERIE,Financials,ERIE,USD,NYSE/NASDAQ,US,SP500,False,
Essex Property Trust,ESS,Real Estate,ESS,USD,NYSE/NASDAQ,US,SP500,False,
Estée Lauder Companies (The),EL,Consumer Staples,EL,USD,NYSE/NASDAQ,US,SP500,False,
Everest Group,EG,Financials,EG,USD,NYSE/NASDAQ,US,SP500,False,
Evergy,EVRG,Utilities,EVRG,USD,NYSE/NASDAQ,US,SP500,False,
Eversource Energy,ES,Utilities,ES,USD,NYSE/NASDAQ,US,SP500,False,
Exelon,EXC,Utilities,EXC,USD,NYSE/NASDAQ,US,SP500,False,
Expand Energy,EXE,Energy,EXE,USD,NYSE/NASDAQ,US,SP500,False,
Expedia Group,EXPE,Consumer Discretionary,EXPE,USD,NYSE/NASDAQ,US,SP500,False,
Expeditors International,EXPD,Industrials,EXPD,USD,NYSE/NASDAQ,US,SP500,False,
Extra Space Storage,EXR,Real Estate,EXR,USD,NYSE/NASDAQ,US,SP500,False,
ExxonMobil,XOM,Energy,XOM,USD,NYSE/NASDAQ,US,SP500,False,
"F5, Inc.",FFIV,Information Technology,FFIV,USD,NYSE/NASDAQ,US,SP500,False,
FactSet,FDS,Financials,FDS,USD,NYSE/NASDAQ,US,SP500,False,
Fair Isaac,FICO,Information Technology,FICO,USD,NYSE/NASDAQ,US,SP500,False,
Fastenal,FAST,Industrials,FAST,USD,NYSE/NASDAQ,US,SP500,False,
Federal Realty Investment Trust,FRT,Real Estate,FRT,USD,NYSE/NASDAQ,US,SP500,False,
FedEx,FDX,Industrials,FDX,USD,NYSE/NASDAQ,US,SP500,False,
Fidelity National Information Services,FIS,Financials,FIS,USD,NYSE/NASDAQ,US,SP500,False,
Fifth Third Bancorp,FITB,Financials,FITB,USD,NYSE/NASDAQ,US,SP500,False,
First Solar,FSLR,Information Technology,FSLR,USD,NYSE/NASDAQ,US,SP500,False,
FirstEnergy,FE,Utilities,FE,USD,NYSE/NASDAQ,US,SP500,False,
Fiserv,FISV,Financials,FISV,USD,NYSE/NASDAQ,US,SP500,False,
Ford Motor Company,F,Consumer Discretionary,F,USD,NYSE/NASDAQ,US,SP500,False,
Fortinet,FTNT,Information Technology,FTNT,USD,NYSE/NASDAQ,US,SP500,False,
Fortive,FTV,Industrials,FTV,USD,NYSE/NASDAQ,US,SP500,False,
Fox Corporation (Class A),FOXA,Communication Services,FOXA,USD,NYSE/NASDAQ,US,SP500,False,
Fox Corporation (Class B),FOX,Communication Services,FOX,USD,NYSE/NASDAQ,US,SP500,False,
Franklin Resources,BEN,Financials,BEN,USD,NYSE/NASDAQ,US,SP500,False,
Freeport-McMoRan,FCX,Materials,FCX,USD,NYSE/NASDAQ,US,SP500,False,
Garmin,GRMN,Consumer Discretionary,GRMN,USD,NYSE/NASDAQ,US,SP500,False,
Gartner,IT,Information Technology,IT,USD,NYSE/NASDAQ,US,SP500,False,
GE Aerospace,GE,Industrials,GE,USD,NYSE/NASDAQ,US,SP500,False,
GE HealthCare,GEHC,Health Care,GEHC,USD,NYSE/NASDAQ,US,SP500,False,
GE Vernova,GEV,Industrials,GEV,USD,NYSE/NASDAQ,US,SP500,False,
Gen Digital,GEN,Information Technology,GEN,USD,NYSE/NASDAQ,US,SP500,False,
Generac,GNRC,Industrials,GNRC,USD,NYSE/NASDAQ,US,SP500,False,
General Dynamics,GD,Industrials,GD,USD,NYSE/NASDAQ,US,SP500,False,
General Mills,GIS,Consumer Staples,GIS,USD,NYSE/NASDAQ,US,SP500,False,
General Motors,GM,Consumer Discretionary,GM,USD,NYSE/NASDAQ,US,SP500,False,
Genuine Parts Company,GPC,Consumer Discretionary,GPC,USD,NYSE/NASDAQ,US,SP500,False,
Gilead Sciences,GILD,Health Care,GILD,USD,NYSE/NASDAQ,US,SP500,False,
Global Payments,GPN,Financials,GPN,USD,NYSE/NASDAQ,US,SP500,False,
Globe Life,GL,Financials,GL,USD,NYSE/NASDAQ,US,SP500,False,
GoDaddy,GDDY,Information Technology,GDDY,USD,NYSE/NASDAQ,US,SP500,False,
Goldman Sachs,GS,Financials,GS,USD,NYSE/NASDAQ,US,SP500,False,
Halliburton,HAL,Energy,HAL,USD,NYSE/NASDAQ,US,SP500,False,
Hartford (The),HIG,Financials,HIG,USD,NYSE/NASDAQ,US,SP500,False,
Hasbro,HAS,Consumer Discretionary,HAS,USD,NYSE/NASDAQ,US,SP500,False,
HCA Healthcare,HCA,Health Care,HCA,USD,NYSE/NASDAQ,US,SP500,False,
Healthpeak Properties,DOC,Real Estate,DOC,USD,NYSE/NASDAQ,US,SP500,False,
Henry Schein,HSIC,Health Care,HSIC,USD,NYSE/NASDAQ,US,SP500,False,
Hershey Company (The),HSY,Consumer Staples,HSY,USD,NYSE/NASDAQ,US,SP500,False,
Hewlett Packard Enterprise,HPE,Information Technology,HPE,USD,NYSE/NASDAQ,US,SP500,False,
Hilton Worldwide,HLT,Consumer Discretionary,HLT,USD,NYSE/NASDAQ,US,SP500,False,
Home Depot (The),HD,Consumer Discretionary,HD,USD,NYSE/NASDAQ,US,SP500,False,
Honeywell,HON,Industrials,HON,USD,NYSE/NASDAQ,US,SP500,False,
Hormel Foods,HRL,Consumer Staples,HRL,USD,NYSE/NASDAQ,US,SP500,False,
Host Hotels & Resorts,HST,Real Estate,HST,USD,NYSE/NASDAQ,US,SP500,False,
Howmet Aerospace,HWM,Industrials,HWM,USD,NYSE/NASDAQ,US,SP500,False,
HP Inc.,HPQ,Information Technology,HPQ,USD,NYSE/NASDAQ,US,SP500,False,
Hubbell Incorporated,HUBB,Industrials,HUBB,USD,NYSE/NASDAQ,US,SP500,False,
Humana,HUM,Health Care,HUM,USD,NYSE/NASDAQ,US,SP500,False,
Huntington Bancshares,HBAN,Financials,HBAN,USD,NYSE/NASDAQ,US,SP500,False,
Huntington Ingalls Industries,HII,Industrials,HII,USD,NYSE/NASDAQ,US,SP500,False,
IBM,IBM,Information Technology,IBM,USD,NYSE/NASDAQ,US,SP500,False,
IDEX Corporation,IEX,Industrials,IEX,USD,NYSE/NASDAQ,US,SP500,False,
Idexx Laboratories,IDXX,Health Care,IDXX,USD,NYSE/NASDAQ,US,SP500,False,
Illinois Tool Works,ITW,Industrials,ITW,USD,NYSE/NASDAQ,US,SP500,False,
Incyte,INCY,Health Care,INCY,USD,NYSE/NASDAQ,US,SP500,False,
Ingersoll Rand,IR,Industrials,IR,USD,NYSE/NASDAQ,US,SP500,False,
Insulet Corporation,PODD,Health Care,PODD,USD,NYSE/NASDAQ,US,SP500,False,
Intel,INTC,Information Technology,INTC,USD,NYSE/NASDAQ,US,SP500,False,
Interactive Brokers,IBKR,Financials,IBKR,USD,NYSE/NASDAQ,US,SP500,False,
Intercontinental Exchange,ICE,Financials,ICE,USD,NYSE/NASDAQ,US,SP500,False,
International Flavors & Fragrances,IFF,Materials,IFF,USD,NYSE/NASDAQ,US,SP500,False,
International Paper,IP,Materials,IP,USD,NYSE/NASDAQ,US,SP500,False,
Intuit,INTU,Information Technology,INTU,USD,NYSE/NASDAQ,US,SP500,False,
Intuitive Surgical,ISRG,Health Care,ISRG,USD,NYSE/NASDAQ,US,SP500,False,
Invesco,IVZ,Financials,IVZ,USD,NYSE/NASDAQ,US,SP500,False,
Invitation Homes,INVH,Real Estate,INVH,USD,NYSE/NASDAQ,US,SP500,False,
IQVIA,IQV,Health Care,IQV,USD,NYSE/NASDAQ,US,SP500,False,
Iron Mountain,IRM,Real Estate,IRM,USD,NYSE/NASDAQ,US,SP500,False,
J.B. Hunt,JBHT,Industrials,JBHT,USD,NYSE/NASDAQ,US,SP500,False,
